Assembly,OPCODE,SUBOPCODE,r_D,r_A,r_B
nope,NOPE_OPCODE,(others => '0'),,,
move,MOVE_OPCODE,SUBOPCODE_MOVE_REG2REG,GRB,GRB,
move_high,MOVE_OPCODE,SUBOPCODE_MOVE_REG2ACCH,ACRB,GRB,
move,MOVE_OPCODE,SUBOPCODE_MOVE_REG2ACCL,ACRB,GRB,
move_high,MOVE_OPCODE,SUBOPCODE_MOVE_ACCH2REG,GRB,ACRB,
move,MOVE_OPCODE,SUBOPCODE_MOVE_ACCL2REG,GRB,ACRB,
move,MOVE_OPCODE,SUBOPCODE_MOVE_REG2ADR,ARB,GRB,
move,MOVE_OPCODE,SUBOPCODE_MOVE_ADR2REG,GRB,ARB,
move,MOVE_ACC_OPCODE,(others => '0'),ACRB,ACRB,
set,SET_OPCODE,SUBOPCODE_SET_IMM,GRB,,IMM
set_thread_id,SET_OPCODE,SUBOPCODE_SET_THREADID,GRB,,
set_block_id,SET_OPCODE,SUBOPCODE_SET_BLOCKID,GRB,,
set_en_mask,SET_OPCODE,SUBOPCODE_SET_EN_MASK,GRB,,
load,LOAD_OPCODE,SUBOPCODE_LOAD_SMEM,GRB,ARB,
load,LOAD_OPCODE,SUBOPCODE_LOAD_PMEM,GRB,ACRB,
load_cmem,LOAD_OPCODE,SUBOPCODE_LOAD_CMEM,GRB,ACRB,
store,STORE_OPCODE,SUBOPCODE_STORE_REG2SMEM,ARB,GRB,
store,STORE_OPCODE,SUBOPCODE_STORE_CMEM2SMEM,ARB,ACRB,
store,STORE_OPCODE,SUBOPCODE_STORE_REG2PMEM,ACRB,GRB,
store,STORE_OPCODE,SUBOPCODE_STORE_SMEM2PMEM,ACRB,ARB,
add,ADD_REG2ADR_OPCODE,(others => '0'),GRB,GRB,ARB
add,ADD_REG2IMM_OPCODE,(others => '0'),GRB,GRB,IMM
add,ADD_REG2MEM_OPCODE,(others => '0'),GRB,GRB,ACRB
add,ADD_MEM2IMM_OPCODE,(others => '0'),GRB,ACRB,IMM
add,ADD_ACC_OPCODE,(others => '0'),ACRB,ACRB,ACRB
sub,SUB_REG2ADR_OPCODE,(others => '0'),GRB,GRB,ARB
sub,SUB_REG2IMM_OPCODE,(others => '0'),GRB,GRB,IMM
sub,SUB_REG2MEM_OPCODE,(others => '0'),GRB,GRB,ACRB
sub,SUB_IMM2MEM_OPCODE,(others => '0'),GRB,ACRB,IMM
sub,SUB_ACC_OPCODE,(others => '0'),ACRB,ACRB,ACRB
abs,ABS_OPCODE,(others => '0'),GRB,GRB,
and,AND_REG2ADR_OPCODE,(others => '0'),GRB,GRB,ARB
and,AND_REG2IMM_OPCODE,(others => '0'),GRB,GRB,IMM
and,AND_REG2MEM_OPCODE,(others => '0'),GRB,GRB,ACRB
or,OR_REG2ADR_OPCODE,(others => '0'),GRB,GRB,ARB
or,OR_REG2IMM_OPCODE,(others => '0'),GRB,GRB,IMM
or,OR_REG2MEM_OPCODE,(others => '0'),GRB,GRB,ACRB
xor,XOR_REG2ADR_OPCODE,(others => '0'),GRB,GRB,ARB
